-,-,-
-136, 59, 972
-34, 95, 1143
-34, 95, 1143
69, 186, 633
-27, 74, 107
-230, -457, -66
-272, -742, -760
-374, -779, -1900
-303, -1260, -1320
160, -1288, -389
846, -546, 462
1098, 26, 959
1086, 204, 1494
1486, 648, 1997
1610, 1359, 1998
1286, 1361, 1998
835, 930, 1958
523, 242, 1552
523, 242, 1552
8, -319, 1135
376, -132, 1063
265, -205, 1399
361, 46, 1374
361, 1, 1752
-,-,-
-212, -56, 876
-194, -87, 907
-247, -105, 1031
-243, -59, 1071
-158, -1, 942
-75, -84, 824
-75, -84, 824
17, -251, 434
244, -211, -378
351, -221, -1087
230, -811, -1174
226, -856, -1002
276, -641, -860
465, -670, 231
949, -125, 1609
999, 528, 1998
662, 912, 1998
397, 1022, 1998
272, 1057, 1998
103, 750, 1998
103, 750, 1998
-7, 323, 1870
-114, -93, 1492
-214, -214, 1273
-232, -33, 1075
-226, 86, 1109
-,-,-
254, 28, -270
-9, -44, -1370
-408, -1337, -21
-93, -936, -80
311, 19, -324
311, 19, -324
301, -188, 103
441, -353, 778
658, -84, 1321
633, 86, 1722
488, 180, 1762
507, 277, 1558
387, 423, 1502
387, 423, 1502
170, 529, 1377
64, 335, 1160
142, -78, 1384
203, -109, 1182
123, -124, 1197
72, -118, 1485
138, 6, 1900
210, 319, 1998
-,-,-
-6, -190, -236
-6, -190, -236
-15, -518, 60
127, -77, -394
150, -176, -622
191, -480, 17
425, -333, 393
563, -185, 539
419, -236, 872
238, -144, 1213
297, 65, 1444
297, 65, 1444
383, 73, 1702
347, 234, 1849
270, 244, 1741
236, 198, 1525
133, 162, 1638
36, 210, 1654
36, 210, 1654
86, 193, 1590
161, 167, 1419
149, 198, 1500
78, 189, 1608
41, 81, 1580
-,-,-
-28, -176, 347
30, -422, 277
217, -322, -117
314, -269, -709
236, -699, -467
184, -805, -13
418, -294, -39
418, -294, -39
603, -67, 162
526, -44, 762
376, 217, 1392
267, 358, 1778
464, 475, 1966
518, 655, 1998
358, 607, 1998
358, 607, 1998
176, 411, 1870
116, 248, 1656
110, 180, 1548
57, -30, 1399
104, -66, 1560
-,-,-
58, -58, 42
26, -145, -449
-47, -360, -635
24, -487, -617
24, -487, -617
146, -336, -403
454, -197, 37
512, -304, 448
493, -441, 998
541, -241, 1367
500, 75, 1634
250, 146, 1745
124, 40, 1816
124, 40, 1816
258, 238, 1993
198, 406, 1998
110, 283, 1929
65, 164, 1431
54, 91, 1348
-37, -77, 1556
-,-,-
162, -481, -203
205, -387, -171
109, -366, 52
148, -268, 306
148, -268, 306
219, -126, 553
196, -210, 754
166, -106, 1087
165, 124, 1331
132, 125, 1570
131, 21, 1587
148, -75, 1716
130, 38, 1833
130, 38, 1833
6, 238, 1842
-,-,-
115, -165, 441
115, -165, 441
114, -43, -96
-39, -358, -650
-62, -501, -693
81, -386, -451
280, -225, -24
477, -341, 291
563, -405, 595
472, -351, 1237
261, -282, 1735
294, -184, 1818
379, -415, 1785
379, -415, 1785
492, -394, 1952
513, 66, 1998
387, 402, 1954
-,-,-
-96, -159, 683
-106, -264, 525
-55, -170, 345
42, -47, 255
50, -90, 423
15, -209, 654
66, -186, 726
66, -186, 726
77, -173, 686
30, -131, 751
-9, -78, 890
17, 33, 779
17, 33, 779
69, 81, 558
2, -12, 496
-39, -102, 713
45, 2, 817
45, 2, 817
97, 121, 958
192, 85, 1032
192, 85, 1032
246, 123, 1382
237, 202, 1391
174, 149, 1601
